job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category
Data Scientist,USA,Senior,Master,2022,6193.103,0.32,Python,88,39158,2,High,Medium Risk
Software Engineer,India,Senior,Bachelor,2032,2133.084,0.52,Java,80,7265,1,High,Medium Risk
Data Scientist,Canada,Mid,Bachelor,2015,2421.117,0.25,Python,70,22962,1,High,Low Risk
Data Scientist,India,Entry,PhD,2034,1179.4859999999999,0.44,Python,95,17023,1,Medium,Medium Risk
Data Analyst,Canada,Entry,PhD,2035,1799.926,0.75,SQL,61,3433,0,Medium,High Risk
DevOps Engineer,UK,Entry,Master,2033,2967.6400000000003,0.38,Docker,80,18568,1,High,Medium Risk
Cybersecurity Analyst,USA,Entry,PhD,2028,2781.344,0.28,Security,81,7396,1,High,Low Risk
Cloud Engineer,Germany,Entry,Bachelor,2025,2468.438,0.35,AWS,86,26658,1,High,Medium Risk
Data Scientist,USA,Mid,Bachelor,2026,4561.771,0.36,Python,87,3747,2,High,Medium Risk
Cloud Engineer,Canada,Mid,Bachelor,2029,3952.654,0.39,AWS,62,4556,1,High,Medium Risk
DevOps Engineer,USA,Mid,Bachelor,2032,5668.608999999999,0.37,Docker,80,15502,2,High,Medium Risk
Cybersecurity Analyst,Australia,Senior,Master,2033,4785.37,0.33,Security,84,44323,2,High,Medium Risk
Software Engineer,Australia,Entry,Bachelor,2022,2084.2619999999997,0.42,Java,68,24897,1,High,Medium Risk
Cybersecurity Analyst,USA,Entry,Bachelor,2027,2604.305,0.27,Security,79,24483,1,High,Low Risk
Cybersecurity Analyst,UK,Senior,Master,2020,3795.156,0.2,Security,67,45974,2,High,Low Risk
Cloud Engineer,Germany,Entry,PhD,2023,2231.0640000000003,0.33,AWS,76,27531,1,High,Medium Risk
Data Scientist,Canada,Senior,Bachelor,2032,5514.737999999999,0.42,Python,63,20457,1,High,Medium Risk
Software Engineer,India,Mid,Master,2023,1099.295,0.43,Java,63,41757,1,Medium,Medium Risk
DevOps Engineer,India,Senior,Master,2016,1470.185,0.21,Docker,77,7873,1,Medium,Low Risk
Software Engineer,USA,Mid,Master,2023,3866.7480000000005,0.43,Java,69,27557,1,High,Medium Risk
Data Scientist,India,Senior,PhD,2025,2116.397,0.35,Python,90,12534,1,High,Medium Risk
Software Engineer,Australia,Mid,Master,2035,3568.0119999999997,0.55,Java,82,26851,1,High,Medium Risk
Business Analyst,India,Mid,Bachelor,2022,769.962,0.72,Excel,99,25276,0,Low,High Risk
DevOps Engineer,Canada,Mid,PhD,2033,4110.595,0.38,Docker,77,18262,1,High,Medium Risk
AI Researcher,Canada,Mid,Master,2022,4358.6939999999995,0.12,Deep Learning,85,22243,2,High,Low Risk
ML Engineer,Canada,Mid,Bachelor,2016,3282.393,0.16,Python,88,49984,2,High,Low Risk
Data Scientist,India,Senior,Bachelor,2028,2288.032,0.38,Python,83,3027,1,High,Medium Risk
Product Manager,USA,Mid,Master,2034,6058.25,0.49,Strategy,70,23002,2,High,Medium Risk
Business Analyst,Canada,Mid,PhD,2015,1895.2959999999998,0.65,Excel,94,13666,1,Medium,High Risk
Data Scientist,Australia,Senior,Master,2035,5927.9619999999995,0.45,Python,98,39952,2,High,Medium Risk
Cloud Engineer,USA,Mid,Master,2020,4794.947,0.3,AWS,68,31535,2,High,Medium Risk
Business Analyst,USA,Senior,PhD,2023,4510.929,0.73,Excel,92,24599,1,High,High Risk
DevOps Engineer,India,Senior,Bachelor,2035,2454.8920000000003,0.4,Docker,83,31818,1,High,Medium Risk
Cybersecurity Analyst,Australia,Senior,PhD,2021,4136.323,0.21,Security,81,25538,2,High,Low Risk
ML Engineer,Germany,Entry,PhD,2031,3146.069,0.31,Python,94,48716,2,High,Medium Risk
Data Analyst,Canada,Mid,Master,2015,1707.1740000000002,0.55,SQL,62,18412,0,Medium,Medium Risk
Data Scientist,Germany,Mid,Bachelor,2016,2606.558,0.26,Python,73,26446,1,High,Low Risk
Software Engineer,Canada,Entry,Bachelor,2030,2156.797,0.5,Java,74,22518,1,High,Medium Risk
Data Scientist,Canada,Entry,Bachelor,2030,2433.6279999999997,0.4,Python,72,49702,1,High,Medium Risk
DevOps Engineer,India,Mid,PhD,2034,1778.9830000000002,0.39,Docker,91,23403,1,Medium,Medium Risk
AI Researcher,India,Senior,PhD,2021,2488.562,0.11,Deep Learning,82,7374,2,High,Low Risk
Cybersecurity Analyst,UK,Senior,PhD,2026,4662.9980000000005,0.26,Security,88,34827,2,High,Low Risk
Business Analyst,Canada,Mid,Bachelor,2022,2397.25,0.72,Excel,66,10914,0,High,High Risk
Software Engineer,USA,Mid,Bachelor,2033,5039.980000000001,0.53,Java,87,44585,2,High,Medium Risk
DevOps Engineer,India,Senior,Bachelor,2015,1614.172,0.2,Docker,65,30467,1,Medium,Low Risk
Data Scientist,Australia,Senior,Bachelor,2022,5198.129,0.32,Python,79,49925,2,High,Medium Risk
Data Scientist,USA,Mid,Bachelor,2031,5577.0779999999995,0.41,Python,87,22976,2,High,Medium Risk
Software Engineer,Germany,Senior,Master,2021,3837.54,0.41,Java,92,31080,2,High,Medium Risk
DevOps Engineer,India,Senior,PhD,2033,2293.521,0.38,Docker,72,10474,1,High,Medium Risk
Business Analyst,India,Mid,Master,2021,744.548,0.71,Excel,67,6530,0,Low,High Risk
Data Scientist,USA,Senior,Master,2026,6867.164000000001,0.36,Python,96,32968,2,High,Medium Risk
AI Researcher,UK,Mid,PhD,2016,3464.16,0.06,Deep Learning,83,35766,2,High,Low Risk
Data Scientist,USA,Mid,PhD,2025,4248.145,0.35,Python,91,31303,2,High,Medium Risk
Data Scientist,India,Entry,Bachelor,2032,1069.283,0.42,Python,71,45417,1,Medium,Medium Risk
Business Analyst,India,Mid,Bachelor,2023,904.85,0.73,Excel,96,21080,0,Low,High Risk
Business Analyst,India,Entry,Master,2032,813.556,0.82,Excel,61,38505,0,Low,High Risk
Data Scientist,USA,Senior,PhD,2015,5156.589,0.25,Python,82,25548,2,High,Low Risk
Data Scientist,India,Entry,Master,2030,983.549,0.4,Python,60,47717,1,Low,Medium Risk
Business Analyst,India,Mid,Bachelor,2020,747.828,0.7,Excel,85,39559,0,Low,High Risk
AI Researcher,USA,Mid,Master,2029,6529.348,0.19,Deep Learning,63,33970,2,High,Low Risk
Cybersecurity Analyst,UK,Senior,PhD,2032,5250.169,0.32,Security,76,26342,2,High,Medium Risk
Business Analyst,India,Entry,Master,2021,613.255,0.71,Excel,64,41545,0,Low,High Risk
Data Analyst,Canada,Senior,PhD,2016,2474.567,0.56,SQL,70,45542,1,High,Medium Risk
Cloud Engineer,USA,Entry,PhD,2030,3587.541,0.4,AWS,92,28848,2,High,Medium Risk
DevOps Engineer,Canada,Entry,Bachelor,2031,2726.903,0.36,Docker,65,16708,1,High,Medium Risk
Data Scientist,India,Entry,PhD,2017,795.1800000000001,0.27,Python,95,7546,1,Low,Low Risk
Software Engineer,UK,Entry,PhD,2022,2224.5769999999998,0.42,Java,78,12411,1,High,Medium Risk
Product Manager,Canada,Entry,PhD,2017,2282.995,0.32,Strategy,92,19343,1,High,Medium Risk
AI Researcher,Australia,Senior,PhD,2031,7615.683999999999,0.21,Deep Learning,77,12111,2,High,Low Risk
Cloud Engineer,Germany,Entry,PhD,2025,2321.079,0.35,AWS,87,9120,1,High,Medium Risk
Software Engineer,Germany,Mid,Bachelor,2035,3321.701,0.55,Java,82,22918,1,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2015,2559.614,0.15,Security,94,17646,2,High,Low Risk
Business Analyst,Canada,Senior,Bachelor,2017,2986.3920000000003,0.67,Excel,85,26199,1,High,High Risk
DevOps Engineer,India,Senior,Master,2019,1783.475,0.24,Docker,61,32616,1,Medium,Low Risk
Cloud Engineer,USA,Entry,Master,2024,3144.117,0.34,AWS,71,21932,1,High,Medium Risk
ML Engineer,UK,Senior,PhD,2024,6913.399,0.24,Python,68,8400,2,High,Low Risk
Product Manager,Australia,Senior,Bachelor,2032,6820.728,0.47,Strategy,75,2154,2,High,Medium Risk
Cybersecurity Analyst,Australia,Entry,Bachelor,2023,2134.0240000000003,0.23,Security,92,13183,1,High,Low Risk
Data Scientist,USA,Senior,PhD,2019,6292.691999999999,0.29,Python,67,6539,2,High,Low Risk
Cybersecurity Analyst,Germany,Senior,Bachelor,2025,4474.052,0.25,Security,79,49354,2,High,Low Risk
Software Engineer,Australia,Senior,Master,2031,5256.803,0.51,Java,84,17482,1,High,Medium Risk
Business Analyst,Germany,Entry,Bachelor,2035,2145.676,0.85,Excel,77,47975,0,High,High Risk
AI Researcher,Germany,Entry,Bachelor,2025,2842.373,0.15,Deep Learning,61,3869,1,High,Low Risk
ML Engineer,Australia,Mid,Bachelor,2029,4553.342000000001,0.29,Python,95,25736,2,High,Low Risk
DevOps Engineer,Australia,Mid,PhD,2015,2561.7490000000003,0.2,Docker,73,26876,1,High,Low Risk
Data Scientist,USA,Senior,Bachelor,2032,7418.272999999999,0.42,Python,67,47214,2,High,Medium Risk
Data Analyst,Germany,Senior,PhD,2019,2631.3540000000003,0.59,SQL,92,5555,1,High,Medium Risk
AI Researcher,India,Entry,Master,2026,1212.434,0.16,Deep Learning,81,20830,1,Medium,Low Risk
Data Analyst,Germany,Entry,PhD,2022,1207.0919999999999,0.62,SQL,89,15373,0,Medium,High Risk
Data Scientist,Germany,Senior,Master,2034,6451.396,0.44,Python,67,20738,2,High,Medium Risk
ML Engineer,India,Entry,Bachelor,2028,1152.28,0.28,Python,80,33352,1,Medium,Low Risk
Data Analyst,India,Senior,Master,2028,1270.241,0.68,SQL,92,30124,1,Medium,High Risk
Software Engineer,Germany,Entry,PhD,2018,1624.109,0.38,Java,78,38410,1,Medium,Medium Risk
AI Researcher,USA,Mid,Bachelor,2021,5657.373,0.11,Deep Learning,76,19589,2,High,Low Risk
Business Analyst,Germany,Mid,Bachelor,2022,2309.739,0.72,Excel,65,48202,0,High,High Risk
Data Analyst,Australia,Entry,Master,2025,1547.237,0.65,SQL,96,19711,1,Medium,High Risk
Cybersecurity Analyst,USA,Mid,Master,2035,4598.874,0.35,Security,90,1699,2,High,Medium Risk
DevOps Engineer,UK,Senior,PhD,2025,6137.761,0.3,Docker,80,36743,2,High,Medium Risk
Data Analyst,USA,Mid,Bachelor,2033,3461.1150000000002,0.73,SQL,62,27641,0,High,High Risk
Cybersecurity Analyst,USA,Entry,PhD,2028,2927.559,0.28,Security,90,24093,2,High,Low Risk
Cloud Engineer,Australia,Mid,Master,2034,4845.713,0.44,AWS,99,37631,2,High,Medium Risk
DevOps Engineer,USA,Mid,PhD,2021,4084.045,0.26,Docker,81,19070,2,High,Low Risk
Cybersecurity Analyst,USA,Senior,Master,2015,4141.275,0.15,Security,86,11729,2,High,Low Risk
DevOps Engineer,Canada,Senior,PhD,2021,5196.801,0.26,Docker,76,28751,2,High,Low Risk
Cloud Engineer,UK,Entry,PhD,2025,2913.2389999999996,0.35,AWS,98,6801,1,High,Medium Risk
Product Manager,Germany,Senior,Bachelor,2024,5815.741,0.39,Strategy,94,30592,2,High,Medium Risk
DevOps Engineer,Germany,Senior,Master,2025,5232.912,0.3,Docker,66,25376,2,High,Medium Risk
AI Researcher,Australia,Mid,PhD,2019,4031.756,0.09,Deep Learning,79,3368,2,High,Low Risk
Software Engineer,UK,Senior,Master,2020,3973.976,0.4,Java,75,11893,1,High,Medium Risk
Product Manager,Canada,Mid,Master,2032,4867.067,0.47,Strategy,82,14403,1,High,Medium Risk
Data Analyst,Germany,Mid,Bachelor,2028,2117.887,0.68,SQL,91,11966,1,High,High Risk
Product Manager,Canada,Senior,Master,2029,6587.817,0.44,Strategy,84,23677,2,High,Medium Risk
Business Analyst,UK,Senior,Bachelor,2031,4430.247,0.81,Excel,81,32024,1,High,High Risk
Business Analyst,Australia,Entry,PhD,2017,1272.617,0.67,Excel,65,30749,0,Medium,High Risk
Cybersecurity Analyst,Canada,Senior,PhD,2034,5243.148999999999,0.34,Security,96,49096,2,High,Medium Risk
Cloud Engineer,USA,Entry,PhD,2024,3647.086000000001,0.34,AWS,64,22606,1,High,Medium Risk
Software Engineer,India,Entry,Bachelor,2016,595.086,0.36,Java,91,33093,1,Low,Medium Risk
Software Engineer,UK,Senior,Bachelor,2029,5411.223,0.49,Java,99,8987,2,High,Medium Risk
AI Researcher,Australia,Senior,Bachelor,2027,6634.4619999999995,0.17,Deep Learning,89,27258,2,High,Low Risk
Business Analyst,UK,Entry,Bachelor,2035,2324.799,0.85,Excel,78,29251,0,High,High Risk
Data Analyst,USA,Mid,Bachelor,2020,2532.873,0.6,SQL,85,26316,1,High,High Risk
DevOps Engineer,UK,Entry,PhD,2022,2332.9669999999996,0.27,Docker,82,2150,1,High,Low Risk
Data Scientist,UK,Entry,Master,2031,3014.496,0.41,Python,60,2081,1,High,Medium Risk
DevOps Engineer,Canada,Mid,Master,2034,4642.030000000001,0.39,Docker,93,47175,2,High,Medium Risk
DevOps Engineer,UK,Senior,Master,2020,5121.4310000000005,0.25,Docker,84,46543,2,High,Low Risk
Business Analyst,UK,Mid,Bachelor,2035,3408.59,0.85,Excel,60,4343,0,High,High Risk
Cybersecurity Analyst,Canada,Mid,PhD,2022,2683.0290000000005,0.22,Security,64,48893,2,High,Low Risk
Cybersecurity Analyst,UK,Entry,PhD,2024,2213.1639999999998,0.24,Security,62,20531,1,High,Low Risk
Software Engineer,Germany,Mid,Master,2032,3442.3720000000003,0.52,Java,96,8253,1,High,Medium Risk
